name,description
China Energy Portal,He Jiankun did suggest that carbon emissions would be a absolute and not just intensity target. Unclear if this is… https://t.co/VnFDR9brga
China Energy Portal,"He Jiankun of Tsinghua presenting suggested pathways to zero carbon by 2060.
For 14FYP: no acceleration in renewabl… https://t.co/1e2cC4Sz3s"
China Energy Portal,"""Chinese decision makers’ anxiety over energy security has “increased drastically” over the past two years – someth… https://t.co/qAEx00A8Or"
China Energy Portal,"RT @Zhifumi: We developed a new Chinese power #emissions database (#PM, #SO2, #NOX) using real monitoring data. The database was published…"
China Energy Portal,"It seems the bureaucracy is still very much feeling the stones whilst crossing the river to carbon neutrality.
Woul… https://t.co/lzPM8YiJDL"
China Energy Portal,"RT @JorritGosens: Here with TWh as units. 
With CREO scenarios that foresee much weaker consumption growth (and early shift to reduction),…"
China Energy Portal,"RT @JorritGosens: Now let's add trendlines.
For 2019 to 2030, Tsinghua sees a trajectory that would 'only' see renewables (or 'non-fossil')…"
China Energy Portal,"RT @JorritGosens: Group of Zhang Xiliang at Tsinghua 3E institute maps out path to zero carbon by 2060.

Few details from Bloomberg, but we…"
China Energy Portal,RT @clearroads: Nice slide by a Chinese MEE official showing duration between peak emissions date and net zero date of various countries. T…
China Energy Portal,RT @ZichenWanghere: China’s ministry of ecology and environment said in a readout of a Sunday briefing that the striving to reach carbon pe…
China Energy Portal,"""Chinese officials laugh when they earnestly seek advice from Europeans on problems of the “just transition” and re… https://t.co/9cHVnJkqAy"
China Energy Portal,"""China's surprise pledge to slash its carbon footprint to zero by 2060 was met with cautious applause, but fresh sp… https://t.co/rNOQwFjikv"
China Energy Portal,Note that a 3 to 1 fossil to clean investment is even worse in terms of emissions vs emissions saved: renewables ar… https://t.co/A9TVVDtbwk
China Energy Portal,Great analysis adding to the evidence that neither 'New Infra' nor clean energy feature heavy in Beijing's stimulus… https://t.co/uWxg11OR4b
China Energy Portal,RT @SwithinLui: China's NDC and carbon-neutral announcements are groundbreaking - our @climateactiontr analysis shows 0.2°C to 0.3°C lower…
China Energy Portal,"RT @ecoangelhsu: Yes - we should expect cities, provinces + companies in #China to follow the central gov't's #carbonneutrality target, a f…"
China Energy Portal,"This announcement comes in the midst of the biggest coal build-out, slowing renewables growth, and a return to CO2… https://t.co/BU2pf6L15S"
China Energy Portal,"Carbon neutrality should also go beyond electricity.

What will the measures be for transport, steel-making, cement… https://t.co/3OeAmipNc5"
China Energy Portal,"Will China start to make haste with power market reform and carbon markets?
Both have been in the making for years… https://t.co/7AZkD1OcmG"
China Energy Portal,"What of the coal cap in the 14FYP: will it be raised to 1,300 GW as some have suggested?

Or will the current annou… https://t.co/JJkxBNqLU6"
China Energy Portal,"Upcoming statements with updated Paris NDC and draft 14FYP will make more clear.

Importantly, will they make a goo… https://t.co/OCGxYy2kDV"
China Energy Portal,It's very unlikely that Xi Jinping made the announcement without solid prep work on emissions scenarios by the ERI/… https://t.co/aaCON2lau2
China Energy Portal,"The big question now is 'how'.

One big question is via what trajectory. Existing potential pathways for zero emiss… https://t.co/L9K3BAZQ0F"
China Energy Portal,"The 2030 is not much different. The language until now was to have CO2 emissions peak' around 2030', now it is to '… https://t.co/d9bPV7emfu"
China Energy Portal,"China announces it will:
- ratchet up Paris ambitions
- 'strive to have CO2 emissions peak before 2030'
- 'strive t… https://t.co/wMVr9f4gZv"
China Energy Portal,"In short, we can look forward to some positive news when Beijing publishes its 14FYP energy plans.
But in a era of… https://t.co/JUKUpr5OWA"
China Energy Portal,A 17.5 or 18% would already require some acceleration. Recently announced volumes of grid-parity projects would not… https://t.co/iBDakHDMQ6
China Energy Portal,"Some interpret the discussion to mean China might aim for 20% by 2025 already. 
But 105 GW of new PV and 48 GW of n… https://t.co/coITu3N8b2"
China Energy Portal,The speculation is about how much the target will exceed 17.5%. Even just a small increase in % renewables in total… https://t.co/Mx9FaAsODS
China Energy Portal,"Installations have been at 30 GW for wind for  number of years, and PV has seen 50+ GW installations in record year… https://t.co/siGTCqgl2T"
China Energy Portal,A simple midway point between 15% in 2020 and 20% in 2030 is 17.5% by 2025. Discussion are underway on ratcheting t… https://t.co/sw1MaqioAP
